,id,filename,AOA,BROWN-FREQ,CONC,FAM,IMAG,K-F-FREQ,K-F-NCATS,K-F-NSAMP,MEANC,MEANP,NLET,NPHON,NSYL,T-L-FREQ,WC,WPS,Qmarks,Unique,Dic,Sixltr,Abbreviations,Emoticons,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Achieve,Relig,Sexual,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,Extraversion,'Emotional,Agreeableness,Conscientiousness,'Openness
0,1,910.txt,1.364566,?,-0.977067,0.7681939999999999,-0.5620729999999999,?,?,?,0.226782,-0.9581379999999999,0.758263,-0.20551999999999998,0.11821300000000001,?,-1.171934,-0.10481700000000001,0,0.43500500000000003,-0.053804,1.405681,0,0,0.050402999999999996,0.097536,-0.5628529999999999,0.046906,1.278633,-0.366003,-1.120516,-0.598275,-0.635454,-0.7709,0.15167,0.8627239999999999,-0.505329,-0.989699,0.890436,1.797739,1.610243,0.619455,3.534871,1.459782,0.2975,1.311598,0.361482,0.111853,-0.362072,0.458837,-0.923624,-1.436544,-0.057195,0.083531,1.288081,-0.19056800000000002,0.21041500000000002,-0.447966,-2.104303,0.476329,0.347067,-0.804055,-1.2881719999999999,-0.993008,-0.501183,1.279117,-1.424485,-0.562516,1.725455,-0.490399,-0.7574810000000001,-0.564505,-0.27834899999999996,-0.08688,-0.587607,0,0,0,0,0,0,0,0,0,-0.193295,-0.610687,4.796426,4.213128,4.492554,4.332998,4.903835
1,2,1821.txt,-0.640854,?,-0.189962,-0.257596,0.056929999999999994,?,?,?,-0.733927,1.3631149999999999,0.279528,0.346624,0.173648,?,-0.839354,-0.189503,0,1.1170200000000001,0.100471,-0.593312,0,0,-0.794162,-0.875658,1.5863180000000001,-0.737749,-0.49295,-0.47266800000000003,0.48172299999999996,-0.598275,0.956635,-0.169968,0.422274,-1.01369,-1.609305,-0.4352,-0.687214,0.308987,1.132423,-0.129255,0.772933,-1.5590030000000001,-0.847548,-1.4553049999999998,-0.656524,0.798037,0.6123609999999999,0.117355,0.045448,-0.478742,-0.339939,-0.140236,-0.9140950000000001,-0.816186,-0.051401,-0.567703,3.072808,0.655734,0.26265,-0.804055,-0.5551020000000001,-0.053746,-0.501183,-0.9523440000000001,-0.969032,0.900726,-0.916214,-0.490399,-0.7574810000000001,0.057525,-0.27834899999999996,-0.08688,0.313748,0,0,0,0,0,0,0,0,0,-0.193295,0.28373699999999996,4.370836,4.05202,4.284788,4.893033999999999,4.973424
2,3,1679.txt,-1.07218,?,0.07170800000000001,-1.856507,1.156928,?,?,?,-0.20584499999999997,1.0397020000000001,1.295631,1.457827,-0.578842,?,-0.230803,8.412218,0,0.31446399999999997,-1.612486,-2.224486,0,0,-3.340849,-2.920409,-0.5628529999999999,-2.9950740000000002,-0.49295,-0.917481,1.246318,-0.598275,-0.635454,-1.194165,-1.137683,-0.6987,-0.636041,0.23896399999999998,-0.8388639999999999,-0.28691,-0.369606,-0.035282,-0.174596,-0.8836879999999999,-0.847548,-0.682134,-0.31009699999999996,0.32614499999999996,-1.004505,0.796918,0.69716,1.039475,0.513029,-0.728776,0.070891,0.8202379999999999,-1.1432309999999999,-1.067032,0.583702,-0.484964,2.780624,-0.051436,-1.1892989999999999,-0.299267,-0.501183,-0.9523440000000001,-1.424485,2.458182,-0.673741,-0.490399,1.0734700000000001,-0.564505,-0.27834899999999996,-0.08688,-2.6206080000000003,0,0,0,0,0,0,0,0,0,-0.193295,-2.628056,4.678106,3.5858480000000004,4.284788,4.893033999999999,4.973424
3,4,2461.txt,-0.659012,?,1.315691,-0.9451069999999999,1.666795,?,?,?,0.698859,-0.482307,1.6480540000000001,1.3834879999999998,1.622356,?,-0.15296500000000002,-0.055987,0,1.264707,0.037238,1.307812,0,0,-1.183655,-0.763111,-0.5628529999999999,-0.8205950000000001,-0.49295,-0.599571,-0.5479510000000001,0.040780000000000004,-0.635454,-0.7061649999999999,1.092139,0.9949530000000001,1.6629669999999999,1.388125,0.805817,-0.341384,-0.860188,0.555941,-0.204333,-0.285725,1.1327120000000002,-1.5526870000000002,-0.148036,-0.362109,-0.34805,-0.28891999999999995,-0.6819109999999999,0.27482199999999996,-0.67633,-0.739926,0.427479,-0.633043,-0.8831190000000001,0.717333,0.341558,-1.6731369999999999,-0.41532600000000003,0.652485,-0.613897,-0.321712,-0.501183,0.334027,-0.122426,-0.856683,0.39142899999999997,-0.490399,1.014234,0.324633,1.209192,-0.08688,-0.893501,0,0,0,0,0,0,0,0,0,1.521484,-0.669396,4.945069999999999,3.5858480000000004,4.492554,4.819516,4.973424
4,5,748.txt,-1.319069,?,0.795813,-0.273787,1.163599,?,?,?,0.31308600000000003,0.744762,-0.606884,-0.46736099999999997,0.881763,?,-1.3134569999999999,-0.184525,0,0.605204,1.1187,0.871851,0,0,1.086914,1.247099,-0.5628529999999999,1.205624,-0.49295,-0.917481,-0.014425,-0.598275,1.562714,-0.251438,-0.41974799999999995,0.35684899999999997,-0.5984119999999999,-0.989699,1.135641,1.176809,-0.860188,1.404723,1.4835479999999999,0.26413200000000003,1.7027869999999998,-1.42287,1.020461,2.731512,0.703398,-0.323617,-1.096035,-0.114125,-1.519041,-0.429196,-0.604641,-1.3332760000000001,-1.1432309999999999,-0.377618,3.071699,0.305189,0.566045,0.60283,-1.804509,-0.993008,-0.501183,-0.9523440000000001,-1.424485,-0.889998,-0.021243,-0.490399,-0.7574810000000001,-0.564505,-0.27834899999999996,-0.08688,0.23921199999999998,0,0,0,0,0,0,0,0,0,-0.193295,0.209775,4.370836,3.767593,4.492554,4.472535,4.253278
5,6,1076.txt,1.3942809999999999,?,0.703812,1.0000229999999999,1.25149,?,?,?,0.444716,-0.55708,-0.260285,-0.538589,0.669469,?,-0.8464299999999999,-0.111029,0,0.203049,0.422304,-0.44924200000000003,0,0,0.731746,1.08822,-0.5628529999999999,1.04548,-0.49295,-0.47083,-1.120516,-0.598275,0.16388,-0.508545,1.9951240000000001,1.137745,1.0009299999999999,0.12388199999999999,1.062822,0.5727479999999999,0.473708,-0.562908,2.655049,-1.551123,-0.847548,-0.992959,-0.948892,0.805496,0.301179,0.12323900000000002,-1.48004,-0.47478400000000004,-1.124383,-0.6048859999999999,-0.1489,-1.132873,-0.777784,-0.5656399999999999,1.136011,0.666301,-0.8499270000000001,2.2655119999999997,-0.5499390000000001,-0.049864,-0.501183,-0.349911,-0.96715,1.598511,0.6165229999999999,-0.490399,-0.135184,-0.564505,-0.27834899999999996,-0.08688,-0.5407390000000001,0,0,0,0,0,0,0,0,0,-0.193295,-0.564179,5.015542,4.213128,4.6555599999999995,4.893033999999999,4.307728
6,7,350.txt,-0.9533,?,0.060467999999999994,0.860326,0.5053449999999999,?,?,?,1.349707,-0.338989,-0.7719659999999999,-0.6676380000000001,-0.810566,?,2.422761,2.307322,0,-2.186804,0.280848,-0.445114,0,0,-0.150255,0.373267,-0.5628529999999999,0.324833,-0.49295,-0.917481,-0.5674710000000001,0.018994,-0.360683,-0.722801,-0.24026399999999998,2.197533,2.740955,0.7328720000000001,1.536141,0.215081,1.6617099999999998,-0.699549,-0.019879,0.26413200000000003,-0.209965,-0.082981,0.816094,-0.07254,0.9246190000000001,-0.8151579999999999,-1.096035,0.051177999999999994,-1.11205,-0.429196,-1.335726,-1.3332760000000001,-1.1432309999999999,-0.722325,1.9262130000000002,-0.35684899999999997,0.6093109999999999,0.954551,-0.941992,-0.344597,0.26012399999999997,-0.9523440000000001,-0.79565,1.351805,0.154143,-0.490399,-0.7574810000000001,-0.564505,-0.27834899999999996,-0.08688,-2.44187,0,0,0,0,0,0,0,0,0,-0.193295,-2.450691,4.796426,4.388147,4.6555599999999995,4.893033999999999,4.307728
7,8,464.txt,1.553186,?,-0.378463,-0.673883,-0.753915,?,?,?,-1.24424,-3.432465,-0.42295,-0.21016999999999997,-0.282856,?,-0.18127000000000001,-0.116401,0,0.0008730000000000001,-0.942301,0.603701,0,0,0.410967,0.670946,-0.5628529999999999,0.6248819999999999,0.540473,-0.5957859999999999,-0.541135,0.048387,-0.635454,1.768691,0.366562,-0.239182,-1.017287,-0.588677,0.410925,0.77713,-0.860188,-0.055384,0.706266,0.21188800000000002,-0.17960399999999999,0.438713,-0.770181,4.215138,-0.792474,-1.306699,-1.766521,-0.743848,-1.519041,-0.39852,-0.415653,-1.312282,-0.353604,0.016333,-0.47064399999999995,-0.052101,-1.18107,-0.804055,0.002669,0.365568,2.689057,-0.5184489999999999,-0.106925,-0.597833,-0.321904,-0.490399,-0.7574810000000001,-0.564505,-0.27834899999999996,-0.08688,-0.49843999999999994,0,0,0,0,0,0,0,0,0,-0.193295,-0.522205,4.796426,3.767593,4.170735,4.79252,4.583562000000001
8,9,892.txt,0.633142,?,-0.352846,-0.917191,0.175284,?,?,?,0.382022,-0.42518900000000004,1.254057,1.106292,1.586905,?,-1.271,0.5923,0,0.620345,-0.649075,1.255113,0,0,-0.948082,-0.580341,-0.5628529999999999,-0.636369,-0.49295,-0.32358200000000004,-0.050889,-0.598275,-0.635454,-0.738341,0.25085,-0.47651499999999997,-1.292957,-0.24935100000000002,-0.49276899999999996,0.39666599999999996,-0.860188,0.162641,0.567802,1.20212,-0.847548,-0.539427,0.13562000000000002,0.197936,4.038723,0.594647,-0.8020520000000001,-0.797132,-0.46951099999999996,0.172525,-0.45773500000000006,-0.921458,-0.657307,0.26634,0.278697,-1.474797,0.06016799999999999,-0.804055,-0.692399,0.261062,-0.501183,-0.151307,-1.424485,-0.008317,-0.067498,-0.490399,0.06996799999999999,0.26600799999999997,-0.27834899999999996,-0.08688,-2.044454,0,0,0,0,0,0,0,0,0,-0.193295,-2.056332,4.945069999999999,4.05202,4.284788,4.893033999999999,4.973424
9,10,1482.txt,0.135981,?,-0.081483,0.70309,-0.300148,?,?,?,0.6222300000000001,-0.54292,-0.52975,-0.73446,-1.16507,?,1.1278219999999999,-0.199681,0,-0.9770059999999999,-0.11783800000000001,-0.051392999999999994,0,0,0.48651400000000006,0.303985,-0.5628529999999999,0.254999,-0.49295,1.157176,0.000436,-0.598275,-0.26416999999999996,-0.23877199999999998,-0.895156,0.48921800000000004,0.08819,-0.47245,-0.18501199999999998,0.628401,-0.240605,-0.18776099999999998,2.38882,0.981374,0.875519,0.40036,0.9208270000000001,0.676762,-0.307167,-0.310408,-0.60147,-1.213179,-0.23583400000000002,0.014693000000000001,0.264563,-0.135856,0.723986,0.097429,-0.676318,-1.0070270000000001,0.577339,1.0969950000000002,-0.44478900000000005,0.321238,-0.501183,0.166955,0.062512,-0.399016,-0.47636999999999996,0.19057000000000002,-0.468429,-0.274383,-0.27834899999999996,-0.08688,0.47890299999999997,0,0,0,0,0,0,0,0,0,-0.193295,0.447622,4.710589,4.388147,4.534644999999999,4.684707,5.006913
